date,open,high,low,close,vol,guard0,guard1,guard2,guard3,guard4,guard5,regressionClose,regressionHigh,MAA3,MAA5
2012-10-01,89.2,89.2,88.3,88.9,3.384611328E9,-1,-1,-1,-1,-1,-1,-0.0033632286995515376,0.0,,
2012-10-02,89.2,89.8,88.9,89.6,3.192851647E9,1,-1,-1,-1,-1,-1,0.0044843049327353305,0.006726457399103075,,
2012-10-03,89.6,89.9,89.3,89.8,2.921834923E9,1,-1,-1,-1,-1,-1,0.002232142857142889,0.0033482142857144126,89.30833333333334,
2012-10-04,89.9,90.6,89.5,90.6,3.586440559E9,1,-1,-1,-1,-1,-1,0.007786429365962053,0.007786429365962053,89.725,
2012-10-05,91.0,91.3,90.4,91.0,3.837331745E9,-1,-1,-1,-1,-1,-1,0.0,0.0032967032967032655,90.24166666666666,89.8
2012-10-08,91.0,91.0,89.0,89.1,3.649042097E9,-1,-1,-1,-1,-1,-1,-0.02087912087912094,0.0,90.36666666666666,90.025
2012-10-09,87.2,88.5,87.1,87.1,5.366535777E9,-1,-1,-1,-1,-1,-1,-0.0011467889908257857,0.014908256880733911,89.475,89.645
2012-10-11,85.1,85.7,84.8,85.5,6.639961233E9,1,-1,-1,-1,-1,-1,0.0047003525264395505,0.007050528789659325,87.59166666666667,88.77
2012-10-12,85.6,86.3,85.3,86.3,2.125552996E9,1,-1,-1,-1,-1,-1,0.008177570093457978,0.008177570093457978,86.20833333333333,87.91499999999999
2012-10-15,86.1,86.4,85.4,86.4,1.688835188E9,1,-1,-1,-1,-1,-1,0.0034843205574914215,0.0034843205574914215,85.74166666666666,86.945
2012-10-16,86.7,87.5,86.7,87.5,2.605642551E9,1,-1,-1,-1,-1,-1,0.009227220299884627,0.009227220299884627,86.35,86.36
2012-10-17,87.8,88.0,86.5,87.4,3.129200403E9,-1,-1,-1,-1,-1,-1,-0.004555808656036349,0.0022779043280182557,86.86666666666667,86.35
2012-10-18,87.0,88.2,87.0,88.1,2.02232012E9,1,1,-1,-1,-1,-1,0.012643678160919474,0.013793103448275895,87.36666666666667,86.81
2012-10-19,86.2,87.3,86.2,86.7,2.398661445E9,1,-1,-1,-1,-1,-1,0.00580046403712297,0.012761020881670467,87.2,86.955
2012-10-22,86.3,86.3,85.6,86.0,1.824506814E9,-1,-1,-1,-1,-1,-1,-0.0034762456546928986,0.0,86.74166666666666,86.95
2012-10-23,85.9,86.3,85.6,85.7,1.390372758E9,-1,-1,-1,-1,-1,-1,-0.0023282887077998,0.0046565774155994345,86.175,86.705
2012-10-24,85.1,86.4,85.1,85.4,2.59233207E9,1,-1,-1,-1,-1,-1,0.003525264394829746,0.015276145710928455,85.80833333333334,86.32
2012-10-25,85.4,85.6,84.5,84.8,3.351045905E9,-1,-1,-1,1,-1,-1,-0.00702576112412188,0.002341920374707127,85.48333333333333,85.82
2012-10-26,86.5,88.3,86.3,87.3,5.948363091E9,1,-1,1,-1,-1,-1,0.009248554913294765,0.020809248554913264,85.89166666666667,85.92
2012-10-29,88.3,89.1,87.6,88.1,3.33464036E9,-1,-1,-1,-1,-1,-1,-0.0022650056625141885,0.009060022650056593,86.81666666666666,86.365
2012-10-30,88.8,89.0,87.7,88.0,2.684851877E9,-1,-1,-1,-1,-1,-1,-0.009009009009008978,0.0022522522522522843,87.91666666666666,86.865
2012-10-31,88.0,88.8,87.9,88.7,2.302952644E9,1,-1,-1,-1,-1,-1,0.007954545454545487,0.00909090909090906,88.33333333333333,87.435
2012-11-01,88.6,89.2,87.7,89.2,3.18427987E9,1,-1,-1,-1,-1,-1,0.0067720090293454695,0.0067720090293454695,88.46666666666667,88.155
2012-11-02,90.0,90.1,89.5,89.9,3.513506904E9,-1,-1,-1,-1,-1,-1,-0.001111111111111048,0.001111111111111048,88.96666666666667,88.71
2012-11-05,89.9,90.3,88.8,90.3,2.830445174E9,1,-1,-1,-1,-1,-1,0.00444938820912115,0.00444938820912115,89.45833333333333,89.02
2012-11-06,90.6,90.6,89.7,90.4,2.38095088E9,-1,-1,-1,-1,-1,-1,-0.0022075055187636716,0.0,90.00833333333333,89.41
2012-11-07,90.5,91.0,90.0,91.0,2.001256326E9,1,-1,-1,-1,-1,-1,0.0055248618784530384,0.0055248618784530384,90.25833333333333,89.865
2012-11-08,90.8,90.9,89.9,90.5,3.613654978E9,-1,-1,-1,-1,-1,-1,-0.00330396475770922,0.0011013215859031777,90.49166666666667,90.235
2012-11-09,90.3,90.9,89.5,90.8,3.471644015E9,1,-1,-1,-1,-1,-1,0.005537098560354375,0.006644518272425344,90.50833333333334,90.335
2012-11-12,91.0,91.8,90.6,91.3,2.735085181E9,1,-1,-1,-1,-1,-1,0.0032967032967032655,0.00879120879120876,90.69166666666666,90.605
2012-11-13,91.0,91.0,89.3,90.3,3.75731168E9,-1,-1,-1,-1,-1,-1,-0.007692307692307724,0.0,90.65,90.62
2012-11-14,90.0,90.9,89.5,90.5,2.811100212E9,1,-1,-1,-1,-1,-1,0.005555555555555556,0.010000000000000063,90.6,90.54
2012-11-15,89.9,90.6,89.0,90.2,2.25968885E9,1,-1,-1,-1,-1,-1,0.0033370411568409025,0.007786429365962053,90.18333333333334,90.42
2012-11-16,89.2,90.3,89.2,90.2,3.03565749E9,1,1,-1,-1,-1,-1,0.011210762331838564,0.012331838565022358,89.95833333333333,90.29
2012-11-19,89.7,90.5,89.7,90.0,2.163252687E9,1,-1,-1,-1,-1,1,0.003344481605351139,0.008918617614269757,89.875,90.05
2012-11-20,90.0,90.4,89.8,90.4,1.936744971E9,1,-1,-1,-1,-1,1,0.004444444444444508,0.004444444444444508,89.95,90.0
2012-11-21,90.3,90.9,89.2,90.5,2.730418163E9,1,-1,-1,1,-1,1,0.0022148394241417813,0.006644518272425344,90.11666666666667,90.0
2012-11-22,90.3,91.3,90.3,91.3,1.891304729E9,1,1,-1,1,-1,1,0.01107419712070875,0.01107419712070875,90.39166666666667,90.175
2012-11-23,91.6,95.5,91.5,95.5,6.044532536E9,1,1,1,1,1,1,0.042576419213973864,0.042576419213973864,91.51666666666667,90.935
2012-11-26,95.5,95.6,94.9,95.3,3.81289483E9,-1,-1,-1,-1,-1,-1,-0.0020942408376963648,0.001047120418848108,93.21666666666667,92.005
2012-11-27,94.6,96.3,94.3,96.3,4.866241979E9,1,1,-1,-1,-1,-1,0.017970401691331954,0.017970401691331954,94.74166666666666,93.05
2012-11-28,95.8,96.1,95.3,95.9,6.054403755E9,1,-1,-1,1,-1,-1,0.0010438413361169992,0.0031315240083507013,95.49166666666666,94.16
2012-11-29,96.0,97.3,95.5,96.5,5.4546636E9,1,-1,-1,-1,-1,-1,0.005208333333333333,0.013541666666666638,95.825,95.265
2012-11-30,96.0,98.8,95.9,98.7,7.526710825E9,1,1,1,-1,-1,-1,0.02812500000000003,0.029166666666666636,96.48333333333333,96.03
2012-12-03,98.3,98.6,96.8,97.9,4.311338915E9,-1,-1,-1,-1,-1,-1,-0.004069175991861561,0.0030518819938962073,97.19166666666666,96.545
2012-12-04,96.9,97.2,95.3,96.6,4.147396261E9,-1,-1,-1,-1,-1,-1,-0.0030959752321982597,0.003095975232198113,97.25,96.77
2012-12-05,94.6,97.1,94.6,96.9,5.812102471E9,1,1,1,1,-1,-1,0.024312896405919784,0.026427061310782242,96.73333333333333,96.775
2012-12-06,96.6,96.9,96.1,96.6,3.236359575E9,-1,-1,-1,-1,-1,-1,0.0,0.003105590062111919,96.28333333333333,96.82
2012-12-07,97.1,98.5,97.1,98.1,3.63625589E9,1,1,-1,-1,-1,-1,0.010298661174047374,0.014418125643666383,96.68333333333334,96.89
2012-12-10,97.9,98.0,96.5,96.5,2.996197439E9,-1,-1,-1,-1,-1,-1,-0.014300306435137952,0.0010214504596526488,97.15833333333333,96.755
2012-12-11,97.3,98.3,96.7,98.3,3.972651022E9,1,1,-1,-1,-1,-1,0.010277492291880781,0.010277492291880781,97.525,96.985
2012-12-12,98.3,98.5,97.2,98.4,4.143972704E9,1,-1,-1,-1,-1,-1,0.0010172939979654987,0.002034587995930853,97.65833333333333,97.445
2012-12-13,98.3,99.4,97.9,99.2,4.499194209E9,1,-1,-1,-1,-1,-1,0.009155645981688765,0.01119023397761962,98.15,97.875
2012-12-14,98.2,98.6,97.5,98.4,3.352051425E9,1,-1,-1,-1,-1,-1,0.002036659877800436,0.0040733197556007275,98.325,97.97
2012-12-17,96.4,97.7,96.2,97.0,4.526485549E9,1,-1,-1,-1,-1,-1,0.006224066390041434,0.013485477178423206,97.9,97.89
2012-12-18,95.0,96.7,95.0,96.7,3.409270783E9,1,1,-1,-1,-1,-1,0.017894736842105293,0.017894736842105293,96.95,97.53
2012-12-19,96.7,97.3,96.2,97.3,2.701305036E9,1,-1,-1,-1,-1,-1,0.0062047569803515435,0.0062047569803515435,96.51666666666667,97.285
2012-12-20,96.1,96.9,95.1,96.0,3.40913434E9,-1,-1,-1,-1,-1,-1,-0.0010405827263266839,0.008324661810614063,96.25,96.75
2012-12-21,95.1,96.5,94.6,94.8,3.303552359E9,-1,-1,-1,-1,-1,-1,-0.003154574132492084,0.014721345951629924,96.05,96.165
2012-12-22,95.7,96.2,95.0,95.7,8.03332094E8,-1,-1,-1,-1,-1,-1,0.0,0.00522466039707419,95.64166666666667,95.93
2012-12-24,96.0,96.4,95.1,95.2,1.646053359E9,-1,-1,-1,-1,-1,-1,-0.008333333333333304,0.004166666666666726,95.525,95.895
2012-12-25,96.0,97.3,95.6,96.5,1.543165588E9,1,-1,-1,-1,-1,-1,0.005208333333333333,0.013541666666666638,95.89166666666667,95.78999999999999
2012-12-26,96.5,97.3,96.0,96.0,1.164163504E9,-1,-1,-1,-1,-1,1,-0.0051813471502590676,0.008290155440414478,96.15833333333333,95.875
2012-12-27,96.2,96.7,95.5,95.6,2.319460051E9,-1,-1,-1,1,-1,1,-0.006237006237006326,0.005197505197505197,96.26666666666667,96.025
2012-12-28,96.8,97.0,95.9,97.0,2.483313883E9,1,-1,-1,1,-1,1,0.0020661157024793684,0.0020661157024793684,96.375,96.23
2013-01-02,97.6,99.9,97.1,99.6,4.02130495E9,1,1,1,1,-1,-1,0.020491803278688527,0.02356557377049192,97.075,96.80499999999999
2013-01-03,100.5,102.0,100.0,101.0,4.4721751E9,1,-1,-1,-1,-1,-1,0.004975124378109453,0.014925373134328358,98.7,97.71
2013-01-04,100.5,101.5,100.0,101.5,3.980403777E9,1,-1,-1,-1,-1,-1,0.009950248756218905,0.009950248756218905,100.1,98.595
2013-01-07,101.0,101.0,99.1,100.5,4.237769552E9,-1,-1,-1,-1,-1,-1,-0.0049504950495049506,0.0,100.71666666666667,99.475
2013-01-08,99.6,100.0,98.9,99.7,3.100841808E9,1,-1,-1,-1,-1,-1,0.0010040160642571137,0.004016064257028169,100.275,100.05
2013-01-09,100.5,100.5,99.2,100.0,2.638483776E9,-1,-1,-1,-1,-1,-1,-0.004975124378109453,0.0,100.0,100.35
2013-01-10,99.9,101.0,99.5,101.0,4.133510035E9,1,1,-1,-1,-1,-1,0.011011011011010954,0.011011011011010954,99.98333333333333,100.245
